textgrid_gretil_item_id,title,author,collection,work_uri,edition_uri,text_uri,handle_pid,license_url,license_statement,rights_holder,rights_lane,agent_can_index_now,source_url,next_action
TG-GRE-0597,"Sāṃkhyatattvavivecana a commentary on the Tattvasamāsa, an abstract of Sāṃkhya philosophy in (23-) 25 sūtras.",Ṣimānanda,Darśana Collection,textgrid:49n65.0,textgrid:49n67.0,textgrid:49n66.0,handle:hdl:21.11113/0000-0016-CECC-B,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n67.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0598,Caryāsaṃgrahapradīpa,Dīpaṃkara,Darśana Collection,textgrid:49n68.0,textgrid:49n6b.0,textgrid:49n69.0,handle:hdl:21.11113/0000-0016-CECF-8,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n6b.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0599,Satyadvayāvatāranāma,Dīpaṃkara,Darśana Collection,textgrid:49n6c.0,textgrid:49n6f.0,textgrid:49n6d.0,handle:hdl:21.11113/0000-0016-CED2-3,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n6f.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0600,Āpattideśanāvidhi,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n6g.0,textgrid:49n6j.0,textgrid:49n6h.0,handle:hdl:21.11113/0000-0016-CED5-0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n6j.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0601,Bodhisattvādikarmikamārgāvatāradeśanā,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n6k.0,textgrid:49n6n.0,textgrid:49n6m.0,handle:hdl:21.11113/0000-0016-CED8-D,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n6n.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0602,Cittotpādasaṃvaravidhikrama,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n6p.0,textgrid:49n6r.0,textgrid:49n6q.0,handle:hdl:21.11113/0000-0016-CEDB-A,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n6r.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0603,Daśākuśalakarmapathadeśanā,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n6s.0,textgrid:49n6v.0,textgrid:49n6t.0,handle:hdl:21.11113/0000-0016-CEDE-7,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n6v.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0604,Gurukriyākrama,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n6w.0,textgrid:49n6z.0,textgrid:49n6x.0,handle:hdl:21.11113/0000-0016-CEE1-2,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n6z.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0605,Mahāyānapathasādhanasaṃgraha,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n70.0,textgrid:49n72.0,textgrid:49n71.0,handle:hdl:21.11113/0000-0016-CEE4-F,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n72.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0606,Samādhisaṃbhāraparivarta,Dīpaṃkaraśrījñāna [= Atīśa],Darśana Collection,textgrid:49n73.0,textgrid:49n75.0,textgrid:49n74.0,handle:hdl:21.11113/0000-0016-CEE7-C,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n75.0,Keep restricted; obtain permission or exclude from public/commercial use.
