carrier_id,textgrid_gretil_item_id,textgrid_uri,handle_pid,format,repository_extent,repository_digest_algorithm,repository_md5,relative_path,acquired,local_bytes,sha256,local_md5,repository_md5_match,xml_well_formed,tei_root,tei_xml_id,tei_license_urls,download_error
TG-GRE-C-0278,TG-GRE-0278,textgrid:49m25.0,handle:hdl:21.11113/0000-0016-CB0C-7,TEI_XML,37241,md5,9fb916e68ade2e36c634d387f47b1d80,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m25_0.xml,True,37241,b53ef590f325ad960aa6e5c57e94c5f1cf5174723f74f6fb0ec2e8a431f12714,9fb916e68ade2e36c634d387f47b1d80,True,True,TEI,sa_chandoviciti,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0279,TG-GRE-0279,textgrid:49m28.0,handle:hdl:21.11113/0000-0016-CB0F-4,TEI_XML,191335,md5,3e57e7700640ee77ca1b601141961e80,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m28_0.xml,True,191335,cc72c1ef1d176df186bfaf6164145986042e8fd5d9ef12470f5bcf36785e114c,3e57e7700640ee77ca1b601141961e80,True,True,TEI,sa_dAmodaragupta-kuTTanImata,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0280,TG-GRE-0280,textgrid:49m2c.0,handle:hdl:21.11113/0000-0016-CB12-F,TEI_XML,309943,md5,ad6df03a526cbd2f03750148408851e1,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m2c_0.xml,True,309943,004bfae0f672d29892843f6c2ec26a572671243e8c8e0020b12497d0907057a9,ad6df03a526cbd2f03750148408851e1,True,True,TEI,sa_daNDin-dazakumAracarita,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0281,TG-GRE-0281,textgrid:49m2g.0,handle:hdl:21.11113/0000-0016-CB15-C,TEI_XML,173551,md5,ca14e5c76d91f9bbe8fe82dbe5ca50e4,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m2g_0.xml,True,173551,fed303f4ea80208ba17eeb54c931af9645db827849b7686535959db8aa8061dd,ca14e5c76d91f9bbe8fe82dbe5ca50e4,True,True,TEI,sa_daNDin-dazakumAracarita3--5-6,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0282,TG-GRE-0282,textgrid:49m2k.0,handle:hdl:21.11113/0000-0016-CB18-9,TEI_XML,80195,md5,ab093ebc45004271c621ba528e72d840,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m2k_0.xml,True,80195,9bace1e738a2d9689329c5ba5e20ded2027d75e379cfbb632de91210129d8c05,ab093ebc45004271c621ba528e72d840,True,True,TEI,sa_daNDin-kAvyAdarza-1-2,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0283,TG-GRE-0283,textgrid:49m2p.0,handle:hdl:21.11113/0000-0016-CB1B-6,TEI_XML,41127,md5,dbff57c1639c76c5d2c0d96bf8822af4,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m2p_0.xml,True,41127,487b25b4a53aedfab8959c68226d8507cb3399b1ce4cb59d760157f13d1704e0,dbff57c1639c76c5d2c0d96bf8822af4,True,True,TEI,sa_daNDin-kAvyAdarza-3,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0284,TG-GRE-0284,textgrid:49m2s.0,handle:hdl:21.11113/0000-0016-CB1E-3,TEI_XML,209816,md5,83291dbb84483b6e6d1ec41f378d7ec5,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m2s_0.xml,True,209816,7958bb60684a4b0cdbffc48d8e68264db860ed0a7b802fb62e30106d0b96f540,83291dbb84483b6e6d1ec41f378d7ec5,True,True,TEI,sa_daNDin-kAvyAdarza1--2.1-144--2.310-368,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0285,TG-GRE-0285,textgrid:49m2w.0,handle:hdl:21.11113/0000-0016-CB21-E,TEI_XML,58693,md5,3cde19c6864170ca8deb51693566f0ac,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m2w_0.xml,True,58693,a9d90d58c8fff4c65266d98942b9ba12db5169f032b19d3531793f4918a5551e,3cde19c6864170ca8deb51693566f0ac,True,True,TEI,sa_dhanaMjaya-dazarUpaka-1-4,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0286,TG-GRE-0286,textgrid:49m30.0,handle:hdl:21.11113/0000-0016-CB24-B,TEI_XML,34701,md5,f9246d77fe59ff2f295ded84894a4710,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m30_0.xml,True,34701,d155dde85609b017ee80a588477c203daf81c43c78d37a5673aea5caeb1df259,f9246d77fe59ff2f295ded84894a4710,True,True,TEI,sa_dhoyI-pavanadUta,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0287,TG-GRE-0287,textgrid:49m33.0,handle:hdl:21.11113/0000-0016-CB27-8,TEI_XML,68000,md5,645a806b22f80fe77693ed72f41610c5,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m33_0.xml,True,68000,bdb8eb2def586f45a610bdba2035fa548a97e71d64ecdbcf3cc0e936bc8bcba6,645a806b22f80fe77693ed72f41610c5,True,True,TEI,sa_dramatic-fragments-buddhist,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0288,TG-GRE-0288,textgrid:49m36.0,handle:hdl:21.11113/0000-0016-CB2A-5,TEI_XML,43597,md5,4f2225dd9205939e804abea21c766c37,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m36_0.xml,True,43597,30a26152c1e26783237a7e6eed351d238408d82f39a02b36b1614f63cacdd1cf,4f2225dd9205939e804abea21c766c37,True,True,TEI,sa_ghaTakarparakAvya-comm,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0289,TG-GRE-0289,textgrid:49m39.0,handle:hdl:21.11113/0000-0016-CB2D-2,TEI_XML,136002,md5,c745778d2aca68c090ec55eb7a21eb1b,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m39_0.xml,True,136002,b521963fc04c45c1627ce6adcd0341c48fd00e98bd57c44a3061422ee346c781,c745778d2aca68c090ec55eb7a21eb1b,True,True,TEI,sa_govardhana-AryAsaptazatI,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0290,TG-GRE-0290,textgrid:49m3d.0,handle:hdl:21.11113/0000-0016-CB30-D,TEI_XML,112384,md5,2ba5620c32e374ef9210def120494c58,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m3d_0.xml,True,112384,abf5908e508140d7f7d6889b505d3fb7f2e86486adaa06702149e410a4d4856b,2ba5620c32e374ef9210def120494c58,True,True,TEI,sa_govindkaul-pradezasaMgraha,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0291,TG-GRE-0291,textgrid:49m3h.0,handle:hdl:21.11113/0000-0016-CB33-A,TEI_XML,40177,md5,f52d113b1f26ffd5ca8b1c8c126eea95,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m3h_0.xml,True,40177,1c8e4a92a84fb23d1a01cbfd7913b6ab4b97262fea8ef242ca7d742388a8f94b,f52d113b1f26ffd5ca8b1c8c126eea95,True,True,TEI,sa_harSadeva-nAgAnanda,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0292,TG-GRE-0292,textgrid:49m3m.0,handle:hdl:21.11113/0000-0016-CB36-7,TEI_XML,113876,md5,41e57ae09bda6e9c2b8fafe63cd9c4b7,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m3m_0.xml,True,113876,e33d06b617fdb51475e61d7aa053b792216ebd4ad99c842fcaf10e6175b1bb09,41e57ae09bda6e9c2b8fafe63cd9c4b7,True,True,TEI,sa_harSadeva-priyadarzikA,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0293,TG-GRE-0293,textgrid:49m3q.0,handle:hdl:21.11113/0000-0016-CB39-4,TEI_XML,85983,md5,64ff6e23a60e0875ea016c72a216786e,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m3q_0.xml,True,85983,68ed9545b616e423e67034ce69e4b5c135997e13c34d0340d552ab893818bd3c,64ff6e23a60e0875ea016c72a216786e,True,True,TEI,sa_harSadeva-ratnAvalInATikA,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0294,TG-GRE-0294,textgrid:49m3t.0,handle:hdl:21.11113/0000-0016-CB3C-1,TEI_XML,14496,md5,874d16a0732d9717b11a0bedd37fd78b,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m3t_0.xml,True,14496,330468e95921bd19281754ff5d757f854e719de21766c9343da55f938c73c934,874d16a0732d9717b11a0bedd37fd78b,True,True,TEI,sa_hetvAbhAsadazaka,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0295,TG-GRE-0295,textgrid:49m3x.0,handle:hdl:21.11113/0000-0016-CB3F-E,TEI_XML,35321,md5,c758519a1bd3955b0c37c743817eaca0,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m3x_0.xml,True,35321,fe506a0fd91fe8b1713866ab389d0b5a3ef6c93d559806bf71575f75dfe4302d,c758519a1bd3955b0c37c743817eaca0,True,True,TEI,sa_jagannAtha-prANAbharaNa-comm,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0296,TG-GRE-0296,textgrid:49m41.0,handle:hdl:21.11113/0000-0016-CB42-9,TEI_XML,20050,md5,7d8c1f687e8be67e06a9f16c0f3882bb,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m41_0.xml,True,20050,bdb74da2b2a3aae020dd1cc26550d91a240fcc3d6476563fa937ef5d95edeaf0,7d8c1f687e8be67e06a9f16c0f3882bb,True,True,TEI,sa_jagannAtha-sudhAlaharI,https://creativecommons.org/licenses/by-nc-sa/4.0/,
